"SADER-JARVIS METHOD"
""
"============================"
"amplitude = ",1.e-10,"(m)"
"k = ",2000,"(N/m)"
"f0 = ",20000,"(Hz)"
"Is force curve valid? ","YES"
"============================"
""
"Distance (m)","Force (N)"
1.7249996e-10,-1.1696442112876885e-10
1.7499996e-10,-1.2260547294216203e-10
1.7749996e-10,-1.108091997960903e-10
1.7999996e-10,-1.137261325052592e-10
1.8249996e-10,-1.196599734540778e-10
1.8499996e-10,-1.213929500321737e-10
1.8749996e-10,-1.221763571755756e-10
1.8999996e-10,-1.0791416721051368e-10
1.9249996e-10,-1.0905153902676807e-10
1.9499996e-10,-1.257488085916764e-10
1.9749996e-10,-1.1444112537349323e-10
1.9999996e-10,-1.0902019703882166e-10
2.0249996e-10,-1.197713464710591e-10
2.0499996e-10,-1.1293604421068376e-10
2.0749996e-10,-1.1779081818674635e-10
2.0999996e-10,-1.1526651823858622e-10
2.1249996e-10,-1.0256582812827645e-10
2.1499996e-10,-1.1218167579294892e-10
2.1749996e-10,-1.1642789318541755e-10
2.1999996e-10,-1.0890950930462733e-10
2.2249996e-10,-1.1478136003737086e-10
2.2499996e-10,-1.136171697833415e-10
2.2749996e-10,-1.0568614271402787e-10
2.2999996e-10,-1.0619703950395233e-10
2.3249996e-10,-1.0199916569723792e-10
2.3499996e-10,-1.0770363686326787e-10
2.3749996e-10,-1.0851016187759774e-10
2.3999996e-10,-1.012042234878007e-10
2.4249996e-10,-1.0288820375138102e-10
2.4499996e-10,-1.0536596971328085e-10
2.4749996e-10,-1.0589363471861175e-10
2.4999997e-10,-1.0551145243768852e-10
2.5249997e-10,-1.0616091517673695e-10
2.5499997e-10,-1.1008516641365381e-10
2.5749997e-10,-1.1202737744149792e-10
2.5999997e-10,-1.0668311261233911e-10
2.6249997e-10,-9.586033833818202e-11
2.6499997e-10,-9.97439400136776e-11
2.6749997e-10,-1.0409150327943964e-10
2.6999997e-10,-1.0121460267272885e-10
2.7249997e-10,-1.0516239967689872e-10
2.7499997e-10,-1.0539642276344213e-10
2.7749997e-10,-1.047145836144097e-10
2.7999997e-10,-9.90528588196866e-11
2.8249997e-10,-1.0258322502105181e-10
2.8499997e-10,-1.0229418465553831e-10
2.8749997e-10,-9.736999242586935e-11
2.8999997e-10,-9.534094107994923e-11
2.9249997e-10,-9.16218599801216e-11
2.9499997e-10,-8.650752182610648e-11
2.9749997e-10,-9.123679681830097e-11
2.9999997e-10,-9.728950625158753e-11
3.0249997e-10,-9.758295706738766e-11
3.0499997e-10,-9.909730595238834e-11
3.0749997e-10,-9.927867741920367e-11
3.0999997e-10,-1.0266379466378567e-10
3.1249997e-10,-9.558226144329953e-11
3.1499997e-10,-9.035216785854454e-11
3.1749997e-10,-9.366321243420503e-11
3.1999997e-10,-8.856459072343089e-11
3.2249997e-10,-8.561156084849416e-11
3.2499997e-10,-9.665036842412023e-11
3.2749997e-10,-9.871471229545862e-11
3.2999997e-10,-9.044240229589718e-11
3.3249997e-10,-9.224586000691224e-11
3.3499997e-10,-8.4992098885994e-11
3.3749997e-10,-8.131326162754425e-11
3.3999997e-10,-9.522211482010412e-11
3.4249997e-10,-9.200077693836582e-11
3.4499997e-10,-8.486190443205417e-11
3.4749997e-10,-8.52097538268759e-11
3.4999997e-10,-8.61297452984021e-11
3.5249997e-10,-8.413464783363064e-11
3.5499997e-10,-8.082044268022008e-11
3.5749997e-10,-9.057263679778868e-11
3.5999997e-10,-9.35337567199019e-11
3.6249997e-10,-9.003290517477314e-11
3.6499997e-10,-8.798251810967465e-11
3.6749997e-10,-8.202160589992522e-11
3.6999998e-10,-8.536864912111502e-11
3.7249998e-10,-8.819492017103367e-11
3.7499998e-10,-8.324334453047683e-11
3.7749998e-10,-8.166126724397887e-11
3.7999998e-10,-8.204311745858414e-11
3.8249998e-10,-8.300150651269265e-11
3.8499998e-10,-8.200075150921756e-11
3.8749998e-10,-8.238226383251342e-11
3.8999998e-10,-8.040046368939931e-11
3.9249998e-10,-8.046130356186208e-11
3.9499998e-10,-8.830604486457808e-11
3.9749998e-10,-8.494556791206692e-11
3.9999998e-10,-8.258775947697959e-11
4.0249998e-10,-8.076713140733858e-11
4.0499998e-10,-7.57319194668586e-11
4.0749998e-10,-7.31097673050355e-11
4.0999998e-10,-7.222034735339611e-11
4.1249998e-10,-7.606247845323162e-11
4.1499998e-10,-8.053680457926037e-11
4.1749998e-10,-8.013603337351744e-11
4.1999998e-10,-7.758609002544086e-11
4.2249998e-10,-7.602567831586775e-11
4.2499998e-10,-7.981698146545613e-11
4.2749998e-10,-8.147823686395849e-11
4.2999998e-10,-7.514195259270047e-11
4.3249998e-10,-7.415196536041464e-11
4.3499998e-10,-8.108052937552742e-11
4.3749998e-10,-7.497594950906059e-11
4.3999998e-10,-6.927131782175547e-11
4.4249998e-10,-6.966878470025254e-11
4.4499998e-10,-6.330696664276603e-11
4.4749998e-10,-7.167627375692118e-11
4.4999998e-10,-8.499573182226777e-11
4.5249998e-10,-7.795715544441643e-11
4.5499998e-10,-7.575140235356555e-11
4.5749998e-10,-7.762225767232327e-11
4.5999998e-10,-6.871498363660424e-11
4.6249998e-10,-7.18755378346684e-11
4.6499998e-10,-7.034541096104655e-11
4.6749998e-10,-6.633928454814816e-11
4.6999998e-10,-7.030329889548416e-11
4.7249998e-10,-6.379104355379442e-11
4.7499998e-10,-6.144081198550118e-11
4.7749998e-10,-6.911406048381026e-11
4.7999998e-10,-6.759823054585162e-11
4.8249998e-10,-6.547387209089576e-11
4.8499998e-10,-6.460357328377178e-11
4.8749998e-10,-6.299913494429156e-11
4.8999999e-10,-6.944646263372816e-11
4.9249999e-10,-7.088911387278163e-11
4.9499999e-10,-6.964026736359747e-11
4.9749999e-10,-6.972636820316113e-11
4.9999999e-10,-6.725651765568274e-11
5.0249999e-10,-7.046514956084121e-11
5.0499999e-10,-7.002393299864307e-11
5.0749999e-10,-6.517409246423342e-11
